id;pcode;space;start;end;activity
56;1,01E+13;100300;555;990;1
56;1,01E+13;*;990;1000;121
56;1,01E+13;10800;1000;1100;54
56;1,01E+13;*;1100;1110;121
56;1,01E+13;100300;1110;1740;1
57;1,01E+13;100300;240;240;1
57;1,01E+13;*;240;270;121
57;1,01E+13;491203;270;770;11
57;1,01E+13;*;770;800;121
57;1,01E+13;100300;800;1740;1
58;1,01E+13;100300;240;415;1
58;1,01E+13;*;415;465;131
58;1,01E+13;*;415;465;133
58;1,01E+13;340100;465;1065;11
58;1,01E+13;*;1065;1095;131
58;1,01E+13;20400;1095;1105;33
58;1,01E+13;*;1105;1140;131
58;1,01E+13;100300;1140;1740;1
59;1,01E+13;100300;240;525;1
59;1,01E+13;*;525;540;121
59;1,01E+13;100200;540;540;64
59;1,01E+13;*;540;635;122
59;1,01E+13;100200;635;635;52
59;1,01E+13;*;635;725;122
59;1,01E+13;100300;725;840;1
59;1,01E+13;*;840;860;121
59;1,01E+13;280300;860;930;32
59;1,01E+13;*;930;945;121
59;1,01E+13;100300;945;975;1
59;1,01E+13;*;975;990;121
59;1,01E+13;90200;990;1050;51
59;1,01E+13;*;1050;1065;121
59;1,01E+13;100300;1065;1155;1
59;1,01E+13;*;1155;1165;100
59;1,01E+13;90600;1165;1290;51
59;1,01E+13;*;1290;1300;100
59;1,01E+13;100300;1300;1740;1
60;1,01E+13;100300;240;600;1
60;1,01E+13;*;600;610;121
60;1,01E+13;110100;610;615;33
60;1,01E+13;*;615;620;121
60;1,01E+13;100300;620;930;1
60;1,01E+13;*;930;940;121
60;1,01E+13;110800;940;955;42
60;1,01E+13;*;955;965;121
60;1,01E+13;100300;965;1740;1
61;1,01E+13;100300;240;480;1
61;1,01E+13;*;480;540;131
61;1,01E+13;*;480;540;133
61;1,01E+13;240708;540;735;29
61;1,01E+13;*;735;740;100
61;1,01E+13;240700;740;750;53
61;1,01E+13;*;750;755;100
61;1,01E+13;240708;755;1050;29
61;1,01E+13;*;1050;1100;133
